coords.x1,coords.x2,datetime,ID,revisits,residenceTime,avg_time_between,date,day,site,concatenated,state,hr
495637.8454,3487947.656,6/7/2014 10:01,45,1,25.64792476,NA,6/7/2014,1,KNF,2014-06-07 45,1,10
495631.8587,3487956.858,6/7/2014 11:00,45,1,25.46467299,NA,6/7/2014,1,KNF,2014-06-07 45,1,11
495634.0684,3487951.415,6/7/2014 12:00,45,1,25.55970636,NA,6/7/2014,1,KNF,2014-06-07 45,1,12
495631.8597,3487959.418,6/7/2014 13:00,45,1,25.4296836,NA,6/7/2014,1,KNF,2014-06-07 45,1,13
495611.841,3487967.906,6/7/2014 14:00,45,1,25.11369,NA,6/7/2014,1,KNF,2014-06-07 45,1,14
495608.1366,3487941.108,6/7/2014 15:00,45,1,25.37132489,NA,6/7/2014,1,KNF,2014-06-07 45,1,15
495586.7112,3487968.238,6/7/2014 16:00,45,1,24.79356665,NA,6/7/2014,1,KNF,2014-06-07 45,1,16
495634.7442,3487955.427,6/7/2014 17:00,45,1,25.51248006,NA,6/7/2014,1,KNF,2014-06-07 45,1,17
495627.0877,3487967.412,6/7/2014 18:00,45,1,25.27285847,NA,6/7/2014,1,KNF,2014-06-07 45,1,18
495634.2307,3487953.543,6/7/2014 19:00,45,1,25.53296746,NA,6/7/2014,1,KNF,2014-06-07 45,1,19
495633.0639,3487955.65,6/7/2014 20:00,45,1,25.49295457,NA,6/7/2014,1,KNF,2014-06-07 45,1,20
495638.3802,3487955.215,6/7/2014 6:00,45,1,25.55028376,NA,6/7/2014,1,KNF,2014-06-07 45,1,6
495641.6462,3487955.524,6/7/2014 7:00,45,1,25.57612567,NA,6/7/2014,1,KNF,2014-06-07 45,1,7
495638.6979,3487965.711,6/7/2014 8:00,45,1,25.40022982,NA,6/7/2014,1,KNF,2014-06-07 45,1,8
495642.2274,3487960.578,6/7/2014 9:01,45,1,25.50716602,NA,6/7/2014,1,KNF,2014-06-07 45,1,9
495850.1475,3487835.317,6/8/2014 10:00,45,1,6.810380985,NA,6/8/2014,2,KNF,2014-06-08 45,2,10
495879.6555,3487861.905,6/8/2014 11:00,45,1,15.06134547,NA,6/8/2014,2,KNF,2014-06-08 45,2,11
495906.4641,3487905.109,6/8/2014 12:00,45,2,18.79290528,1.520655815,6/8/2014,2,KNF,2014-06-08 45,2,12
495814.3401,3487843.854,6/8/2014 13:00,45,2,6.425401069,0.643824632,6/8/2014,2,KNF,2014-06-08 45,2,13
495803.7397,3487854.388,6/8/2014 14:00,45,2,6.380741564,0.82753192,6/8/2014,2,KNF,2014-06-08 45,2,14
495864.0529,3487899.008,6/8/2014 15:00,45,1,21.05646741,NA,6/8/2014,2,KNF,2014-06-08 45,2,15
495896.0461,3487944.803,6/8/2014 16:00,45,2,18.02890938,1.916204273,6/8/2014,2,KNF,2014-06-08 45,2,16
495897.8982,3487946.985,6/8/2014 17:00,45,2,17.91881201,1.983474631,6/8/2014,2,KNF,2014-06-08 45,2,17
495880.932,3487944.82,6/8/2014 18:01,45,2,18.22823918,1.712725501,6/8/2014,2,KNF,2014-06-08 45,2,18
495899.9651,3487915.84,6/8/2014 19:01,45,2,18.78167691,1.522378111,6/8/2014,2,KNF,2014-06-08 45,2,19
495884.8058,3487945.694,6/8/2014 20:00,45,2,18.15174889,1.780530021,6/8/2014,2,KNF,2014-06-08 45,2,20
495640.7944,3487961.886,6/8/2014 6:00,45,1,25.47540689,NA,6/8/2014,2,KNF,2014-06-08 45,2,6
495664.7989,3487903.788,6/8/2014 7:00,45,2,25.82138753,0.586094144,6/8/2014,2,KNF,2014-06-08 45,2,7
495708.0827,3487861.542,6/8/2014 8:00,45,1,2.610646445,NA,6/8/2014,2,KNF,2014-06-08 45,2,8
495791.1392,3487848.951,6/8/2014 9:01,45,2,5.815758791,1.333979041,6/8/2014,2,KNF,2014-06-08 45,2,9
495909.5002,3487972.561,6/9/2014 6:00,45,1,25.35720827,NA,6/9/2014,3,KNF,2014-06-09 45,3,6
495933.168,3488045.37,6/9/2014 7:00,45,1,24.13976219,NA,6/9/2014,3,KNF,2014-06-09 45,3,7
496002.6256,3488124.18,6/9/2014 8:01,45,2,18.53056206,3.14367062,6/9/2014,3,KNF,2014-06-09 45,3,8
495977.3742,3488300.172,6/9/2014 9:01,45,1,3.238274593,NA,6/9/2014,3,KNF,2014-06-09 45,3,9
495871.3226,3488442.758,6/9/2014 10:01,45,1,2.604649306,NA,6/9/2014,3,KNF,2014-06-09 45,3,10
495710.0006,3488598.567,6/9/2014 11:00,45,2,13.17034976,14.03933849,6/9/2014,3,KNF,2014-06-09 45,3,11
495606.0269,3488700.124,6/9/2014 12:00,45,1,26.92113554,NA,6/9/2014,3,KNF,2014-06-09 45,3,12
495657.7397,3488687.157,6/9/2014 13:00,45,1,27.11683416,NA,6/9/2014,3,KNF,2014-06-09 45,3,13
495625.0003,3488692.402,6/9/2014 14:00,45,1,26.99848834,NA,6/9/2014,3,KNF,2014-06-09 45,3,14
495625.2679,3488719.334,6/9/2014 15:00,45,2,27.17471182,499.3690543,6/9/2014,3,KNF,2014-06-09 45,3,15
495607.5091,3488770.725,6/9/2014 16:00,45,2,27.72741088,498.878269,6/9/2014,3,KNF,2014-06-09 45,3,16
495684.0097,3488830.743,6/9/2014 17:00,45,2,28.37094318,498.5281407,6/9/2014,3,KNF,2014-06-09 45,3,17
495611.7399,3488830.939,6/9/2014 18:00,45,3,28.90415869,248.9014253,6/9/2014,3,KNF,2014-06-09 45,3,18
495611.738,3488871.283,6/9/2014 19:00,45,3,29.55423742,248.5367933,6/9/2014,3,KNF,2014-06-09 45,3,19
495593.5845,3488864.142,6/9/2014 20:00,45,4,30.14307596,165.4715973,6/9/2014,3,KNF,2014-06-09 45,3,20
495586.9737,3488765.979,6/10/2014 10:01,45,4,10.53772019,4.908761913,6/10/2014,4,KNF,2014-06-10 45,2,10
495619.6535,3488799.88,6/10/2014 11:01,45,2,19.38474657,3.211999497,6/10/2014,4,KNF,2014-06-10 45,2,11
495602.6743,3488763.91,6/10/2014 12:00,45,4,11.66919098,4.55654968,6/10/2014,4,KNF,2014-06-10 45,2,12
